list-none-none,1,10,1,30,165825,5527
list-none-none,1,100,1,300,134405,448
list-none-none,1,1000,1,3000,3950512,1316
list-none-none,1,10000,1,30000,695143081,23171
list-none-none,1,20000,1,60000,3592880914,59881
list-none-none,4,1,1,12,127068,10589
list-none-none,2,10,1,60,116567,1942
list-none-none,4,10,1,120,135880,1132
list-none-none,12,10,1,360,373251,1036
list-none-none,2,100,1,600,262083,436
list-i-none,4,1,1,12,123052,10254
list-i-none,8,1,1,24,249094,10378
list-i-none,2,2,1,12,118316,9859
list-i-none,12,2,1,72,386521,5368
list-i-none,4,4,1,48,1008320,21006
list-i-none,8,4,1,96,283614,2954
list-i-none,4,8,1,96,209056,2177
list-i-none,2,16,1,96,218484,2275
list-i-none,2,32,1,192,470380,2449
list-i-none,4,32,1,384,803607,2092
list-i-none,8,32,1,768,1632745,2125
list-i-none,12,32,1,1152,2369998,2057
list-d-none,2,1,1,6,131331,21888
list-d-none,4,1,1,12,190002,15833
list-d-none,8,1,1,24,253557,10564
list-d-none,12,1,1,36,396502,11013
list-d-none,4,2,1,24,152741,6364
list-d-none,12,2,1,72,409783,5691
list-d-none,2,4,1,24,110504,4604
list-d-none,4,4,1,48,140073,2918
list-d-none,8,4,1,96,235647,2454
list-d-none,2,8,1,48,122594,2554
list-d-none,8,8,1,192,239022,1244
list-d-none,12,8,1,288,397567,1380
list-d-none,2,16,1,96,111867,1165
list-d-none,2,32,1,192,183606,956
list-d-none,4,32,1,384,206514,537
list-il-none,4,1,1,12,179510,14959
list-il-none,8,1,1,24,289294,12053
list-il-none,12,1,1,36,445760,12382
list-il-none,2,2,1,12,137235,11436
list-il-none,2,4,1,24,124753,5198
list-il-none,4,4,1,48,189958,3957
list-il-none,8,4,1,96,231811,2414
list-il-none,12,4,1,144,440786,3061
list-il-none,2,8,1,48,133648,2784
list-il-none,4,8,1,96,1339263,13950
list-il-none,12,8,1,288,430151,1493
list-il-none,2,16,1,96,218296,2273
list-il-none,2,32,1,192,419144,2183
list-il-none,4,32,1,384,857523,2233
list-dl-none,2,1,1,6,142945,23824
list-dl-none,4,1,1,12,185914,15492
list-dl-none,8,1,1,24,297163,12381
list-dl-none,12,1,1,36,359534,9987
list-dl-none,2,2,1,12,108694,9057
list-dl-none,4,2,1,24,162060,6752
list-dl-none,2,4,1,24,92678,3861
list-dl-none,4,4,1,48,186005,3875
list-dl-none,8,4,1,96,268833,2800
list-dl-none,12,4,1,144,414671,2879
list-dl-none,8,8,1,192,307572,1601
list-dl-none,2,16,1,96,125575,1308
list-dl-none,2,32,1,192,189957,989
list-dl-none,4,32,1,384,294846,767
list-dl-none,8,32,1,768,531505,692
list-i-m,12,32,1,1152,20008378,17368
list-d-m,12,32,1,1152,1998434,1734
list-il-m,12,32,1,1152,13302310,11547
list-dl-m,12,32,1,1152,2383896,2069
list-il-s,12,32,1,1152,18661814,16199
list-none-m,1,1000,1,3000,4012259,1337
list-none-m,2,1000,1,6000,24155623,4025
list-none-m,4,1000,1,12000,93964513,7830
list-none-m,8,1000,1,24000,475142571,19797
list-none-m,12,1000,1,36000,1095984174,30444
list-none-m,16,1000,1,48000,2062159834,42961
list-none-m,24,1000,1,72000,4965425653,68964
list-none-s,1,1000,1,3000,3961827,1320
list-none-s,2,1000,1,6000,44740594,7456
list-none-s,4,1000,1,12000,242145642,20178
list-none-s,8,1000,1,24000,888636845,37026
list-none-s,12,1000,1,36000,3375787959,93771
list-none-s,16,1000,1,48000,5719362662,119153
list-none-s,24,1000,1,72000,9526122356,132307
